id,city08U,co2TailpipeGpm,comb08U,cylinders,displ,drive,fuelCost08,fuelType,ghgScore,highway08U,make,model,automatictransmission,VClass,year,tCharger,sCharger,atvType,mfrCode,startStop
38551,25.6879,314,28.2692,4,1.5,2,1550,Regular,6,32.2272,Chevrolet,Equinox FWD,1,Small Sport Utility Vehicle 2WD,2018,1,0,Gas,GMX,1
38552,23.9827,337,26.3419,4,1.5,4,1650,Regular,5,29.9417,Chevrolet,Equinox AWD,1,Small Sport Utility Vehicle 4WD,2018,1,0,Gas,GMX,1
38570,23.5383,327,27.2166,4,2,4,1950,Premium,6,33.6422,Audi,A5 Cabriolet quattro,1,Subcompact Cars,2018,1,0,Gas,VGA,1
38571,23.6875,327,27.1932,4,2,4,1950,Premium,6,33.1974,Audi,A5 quattro,0,Subcompact Cars,2018,1,0,Gas,VGA,0
38572,23.5383,327,27.2166,4,2,4,1950,Premium,6,33.6422,Audi,A4 quattro,1,Compact Cars,2018,1,0,Gas,VGA,1
38573,23.6875,327,27.1932,4,2,4,1950,Premium,6,33.1974,Audi,A4 quattro,0,Compact Cars,2018,1,0,Gas,VGA,0
38574,20.5209,383,23.0876,4,2,4,2300,Premium,5,27.2541,Subaru,WRX,0,Compact Cars,2018,1,0,Gas,FJX,0
38575,18.3385,420,20.5284,4,2,4,2500,Premium,4,24.0365,Subaru,WRX,1,Compact Cars,2018,1,0,Gas,FJX,0
38576,23.5383,327,27.2166,4,2,4,1950,Premium,6,33.6422,Audi,A5 Sportback quattro,1,Midsize Cars,2018,1,0,Gas,VGA,1
38577,17.5243,445,20.1184,6,3.8,4,2150,Regular,4,24.5623,Genesis,G80 AWD,1,Large Cars,2018,0,0,Gas,HYX,0
38578,18.7066,414,21.5843,6,3.8,2,1950,Regular,4,26.5822,Genesis,G80 RWD,1,Large Cars,2018,0,0,Gas,HYX,0
38579,22.6365,363,24.5032,4,2,4,2100,Premium,5,27.2498,Audi,Q5,1,Small Sport Utility Vehicle 4WD,2018,1,0,Gas,VGA,1
38580,23.5383,327,27.2166,4,2,4,1950,Premium,6,33.6422,Audi,A5 quattro,1,Subcompact Cars,2018,1,0,Gas,VGA,1
38581,20.5086,374,23.7739,6,3,4,2200,Premium,5,29.5182,Audi,S5,1,Subcompact Cars,2018,1,0,Gas,VGA,1
38582,19.8443,384,23.1601,6,3,4,2300,Premium,5,29.1036,Audi,S5 Cabriolet,1,Subcompact Cars,2018,1,0,Gas,VGA,0
38583,20.5086,374,23.7739,6,3,4,2200,Premium,5,29.5182,Audi,S4,1,Compact Cars,2018,1,0,Gas,VGA,1
38584,20.5086,374,23.7739,6,3,4,2200,Premium,5,29.5182,Audi,S5 Sportback,1,Midsize Cars,2018,1,0,Gas,VGA,1
38585,17.0777,453,19.6948,6,3.3,4,2650,Premium,4,24.2339,Genesis,G80 AWD,1,Large Cars,2018,1,0,Gas,HYX,0
38586,17.3756,442,20.2026,6,3.3,2,2650,Premium,4,25.217,Genesis,G80 RWD,1,Large Cars,2018,1,0,Gas,HYX,0
38587,18.5595,434,20.5244,6,3,4,2500,Premium,4,23.5747,Audi,SQ5,1,Small Sport Utility Vehicle 4WD,2018,1,0,Gas,VGA,1
38592,12.4829,596,14.8271,12,6,4,3500,Premium,2,19.2442,Bentley,Bentayga,1,Standard Sport Utility Vehicle 4WD,2018,1,0,Gas,VGA,0
38600,23.6099,324,27.3913,4,2,2,1950,Premium,6,34.0585,BMW,430i Convertible,1,Subcompact Cars,2018,1,0,Gas,BMX,1
38601,22.1404,343,25.7992,4,2,4,2050,Premium,5,32.3292,BMW,430i xDrive Convertible,1,Subcompact Cars,2018,1,0,Gas,BMX,1
38602,20.7264,372,23.8187,6,3,2,2200,Premium,5,29.1308,BMW,440i Convertible,1,Subcompact Cars,2018,1,0,Gas,BMX,1
38603,19.8477,382,23.1926,6,3,4,2300,Premium,5,29.2091,BMW,440i xDrive Convertible,1,Subcompact Cars,2018,1,0,Gas,BMX,1
38604,16.994,450,19.8307,6,3,2,2650,Premium,4,24.9135,BMW,M4 Convertible,0,Subcompact Cars,2018,1,0,Gas,BMX,1
38605,16.2127,481,18.5025,6,3,2,2800,Premium,3,22.3629,BMW,M4 Convertible,1,Subcompact Cars,2018,1,0,Gas,BMX,1
38606,20.0588,378,23.3335,6,3,2,2300,Premium,5,29.15,BMW,640i Convertible,1,Subcompact Cars,2018,1,0,Gas,BMX,1
38607,19.2626,396,22.4976,6,3,4,2400,Premium,4,28.3082,BMW,640i xDrive Convertible,1,Subcompact Cars,2018,1,0,Gas,BMX,1
38608,16.8143,449,19.7998,8,4.4,2,2650,Premium,4,25.2877,BMW,650i Convertible,1,Subcompact Cars,2018,1,0,Gas,BMX,1
38609,16.2396,463,19.1576,8,4.4,4,2800,Premium,3,24.5491,BMW,650i xDrive Convertible,1,Subcompact Cars,2018,1,0,Gas,BMX,1
38610,14.5136,522,17.0216,8,4.4,2,3100,Premium,3,21.5792,BMW,M6 Convertible,0,Subcompact Cars,2018,1,0,Gas,BMX,1
38611,13.6258,553,16.0033,8,4.4,2,3300,Premium,2,20.341,BMW,M6 Convertible,1,Subcompact Cars,2018,1,0,Gas,BMX,1
38612,23.6099,324,27.3913,4,2,2,1950,Premium,6,34.0585,BMW,430i Coupe,1,Compact Cars,2018,1,0,Gas,BMX,1
38613,21.1763,351,25.3157,4,2,2,2100,Premium,5,33.2625,BMW,430i Coupe,0,Compact Cars,2018,1,0,Gas,BMX,1
38614,23.0533,333,26.5895,4,2,4,1950,Premium,6,32.7247,BMW,430i xDrive Coupe,1,Compact Cars,2018,1,0,Gas,BMX,1
38615,23.6099,324,27.3913,4,2,2,1950,Premium,6,34.0585,BMW,430i Gran Coupe,1,Compact Cars,2018,1,0,Gas,BMX,1
38616,23.0533,333,26.5895,4,2,4,1950,Premium,6,32.7247,BMW,430i xDrive Gran Coupe,1,Compact Cars,2018,1,0,Gas,BMX,1
38617,21.3872,352,25.1836,6,3,2,2100,Premium,5,32.1612,BMW,440i Coupe,1,Compact Cars,2018,1,0,Gas,BMX,1
38618,21.1633,357,24.8238,6,3,4,2100,Premium,5,31.4785,BMW,440i xDrive Coupe,1,Compact Cars,2018,1,0,Gas,BMX,1
38619,19.3881,390,22.6479,6,3,4,2300,Premium,5,28.5059,BMW,440i xDrive Coupe,0,Compact Cars,2018,1,0,Gas,BMX,1
38620,21.3872,352,25.1836,6,3,2,2100,Premium,5,32.1612,BMW,440i Gran Coupe,1,Compact Cars,2018,1,0,Gas,BMX,1
38621,21.1633,357,24.8238,6,3,4,2100,Premium,5,31.4785,BMW,440i xDrive Gran Coupe,1,Compact Cars,2018,1,0,Gas,BMX,1
38622,17.434,439,20.2718,6,3,2,2650,Premium,4,25.3065,BMW,M4 Coupe,0,Compact Cars,2018,1,0,Gas,BMX,1
38623,17.365,450,19.7514,6,3,2,2650,Premium,4,23.7388,BMW,M4 Coupe,1,Compact Cars,2018,1,0,Gas,BMX,1
38624,20.0588,378,23.3335,6,3,2,2300,Premium,5,29.15,BMW,640i Gran Coupe,1,Compact Cars,2018,1,0,Gas,BMX,1
38625,19.2626,396,22.4976,6,3,4,2400,Premium,4,28.3082,BMW,640i xDrive Gran Coupe,1,Compact Cars,2018,1,0,Gas,BMX,1
38626,16.8143,449,19.7998,8,4.4,2,2650,Premium,4,25.2877,BMW,650i Gran Coupe,1,Compact Cars,2018,1,0,Gas,BMX,1
38627,16.2396,463,19.1576,8,4.4,4,2800,Premium,3,24.5491,BMW,650i xDrive Gran Coupe,1,Compact Cars,2018,1,0,Gas,BMX,1
38628,16.2396,463,19.1576,8,4.4,4,2800,Premium,3,24.5491,BMW,Alpina B6 xDrive Gran Coupe,1,Compact Cars,2018,1,0,Gas,BMX,1
38629,14.5136,522,17.0216,8,4.4,2,3100,Premium,3,21.5792,BMW,M6 Gran Coupe,0,Compact Cars,2018,1,0,Gas,BMX,1
38630,13.6258,553,16.0033,8,4.4,2,3300,Premium,2,20.341,BMW,M6 Gran Coupe,1,Compact Cars,2018,1,0,Gas,BMX,1
38631,16.4769,454,19.4685,8,4.4,4,2800,Premium,3,25.0209,BMW,M550i xDrive,1,Midsize Cars,2018,1,0,Gas,BMX,1
38632,20.7264,372,23.8187,6,3,2,2200,Premium,5,29.1308,BMW,740i,1,Large Cars,2018,1,0,Gas,BMX,1
38633,19.8477,382,23.1926,6,3,4,2300,Premium,5,29.2091,BMW,740i xDrive,1,Large Cars,2018,1,0,Gas,BMX,1
38634,16.8143,449,19.7998,8,4.4,2,2650,Premium,4,25.2877,BMW,750i,1,Large Cars,2018,1,0,Gas,BMX,1
38635,16.2396,463,19.1576,8,4.4,4,2800,Premium,3,24.5491,BMW,750i xDrive,1,Large Cars,2018,1,0,Gas,BMX,1
38636,16.2396,463,19.1576,8,4.4,4,2800,Premium,3,24.5491,BMW,Alpina B7 xDrive,1,Large Cars,2018,1,0,Gas,BMX,1
38637,20.0639,384,22.8717,4,2,4,2300,Premium,5,27.5909,BMW,X4 xDrive28i,1,Small Sport Utility Vehicle 4WD,2018,1,0,Gas,BMX,1
38638,18.2726,429,20.7138,6,3,4,2500,Premium,4,24.756,BMW,X4 M40i,1,Small Sport Utility Vehicle 4WD,2018,1,0,Gas,BMX,1
38641,16.5288,471,18.6475,4,2.5,4,2800,Premium,3,22.1117,Subaru,WRX,0,Compact Cars,2018,1,0,Gas,FJX,0
38642,22.1768,354,25.1953,4,2,4,2100,Premium,5,30.2233,MINI,JCW Countryman All4,1,Midsize Cars,2018,1,0,Gas,BMX,1
38643,20.4572,373,23.6832,4,2,4,2200,Premium,5,29.3376,MINI,JCW Countryman All4,0,Midsize Cars,2018,1,0,Gas,BMX,1
38644,18.117,424,20.9408,6,3,4,2500,Premium,4,25.8687,Cadillac,CT6 AWD,1,Large Cars,2018,1,0,Gas,GMX,1
38645,21.6093,368,24.1671,4,2.5,4,1800,Regular,5,28.2546,Subaru,Forester AWD,0,Small Sport Utility Vehicle 4WD,2018,0,0,Gas,FJX,0
38646,25.7228,315,28.14,4,2.5,4,1550,Regular,6,31.7914,Subaru,Forester AWD,1,Small Sport Utility Vehicle 4WD,2018,0,0,Gas,FJX,0
